id,category_id,detail,lat,lng,place,region
KCLANPO22N000019229,CT1,호수/저수지,35.12064459,128.844993,옥포제2소류지  ,부산광역시
KCLANPO22N000019230,CT1,호수/저수지,35.40423527,128.1747666,내초1소류지  ,경상남도
KCLANPO22N000019231,CT1,호수/저수지,35.01125338,126.4626091,평촌저수지  ,전라남도
KCLANPO22N000019232,CT1,호수/저수지,36.07699708,127.121097,고내곡저수지  ,충청남도
KCLANPO22N000019233,CT1,호수/저수지,34.66307603,127.2687189,오촌제  ,전라남도
KCLANPO22N000019234,CT1,호수/저수지,35.39792199,126.4111496,가마제  ,전라남도
KCLANPO22N000019235,CT1,호수/저수지,35.15447037,126.5558625,대각제  ,전라남도
KCLANPO22N000019236,CT1,호수/저수지,35.17804994,127.1376883,노기제  ,전라남도
KCLANPO22N000019237,CT1,호수/저수지,35.20262177,127.5087335,용두제  ,전라남도
KCLANPO22N000019238,CT1,호수/저수지,35.19942636,127.2340561,근촌제  ,전라남도
KCLANPO22N000019239,CT1,호수/저수지,38.27305837,127.2892469,토교저수지  ,강원도
KCLANPO22N000019240,CT1,호수/저수지,33.3214541,126.2358385,흙쑥물  ,제주특별자치도
KCLANPO22N000019241,CT1,호수/저수지,37.03461606,127.9531189,원토곡소류지  ,충청북도
KCLANPO22N000019242,CT1,호수/저수지,34.36835862,126.5894393,평암3제  ,전라남도
KCLANPO22N000019243,CT1,호수/저수지,34.40033676,126.1629557,관마3제  ,전라남도
KCLANPO22N000019244,CT1,호수/저수지,34.43601751,126.1865103,삼당2저수지  ,전라남도
KCLANPO22N000019245,CT1,호수/저수지,34.43554879,126.3067733,가향제  ,전라남도
KCLANPO22N000019246,CT1,호수/저수지,36.85015184,127.5971427,원남제  ,충청북도
KCLANPO22N000019247,CT1,호수/저수지,35.2281627,126.5971353,월계제  ,전라남도
KCLANPO22N000019248,CT1,호수/저수지,36.74699223,129.1886545,우천지  ,경상북도
KCLANPO22N000019249,CT1,호수/저수지,34.59138961,126.4755947,신제  ,전라남도
KCLANPO22N000019250,CT1,호수/저수지,34.59573749,126.7128686,청룡2제  ,전라남도
KCLANPO22N000019251,CT1,호수/저수지,34.60877373,127.23956,호동2제  ,전라남도
KCLANPO22N000019252,CT1,호수/저수지,36.63982352,127.416403,피악골방죽  ,충청북도
KCLANPO22N000019253,CT1,호수/저수지,34.69297788,126.6111202,장수제  ,전라남도
KCLANPO22N000019254,CT1,호수/저수지,36.44158319,126.8264868,탄정제  ,충청남도
KCLANPO22N000019255,CT1,호수/저수지,36.39331302,129.1114304,무덤실곡지  ,경상북도
KCLANPO22N000019256,CT1,호수/저수지,36.28299611,127.2666724,텃골방죽  ,대전광역시
KCLANPO22N000019257,CT1,호수/저수지,36.23585812,128.6662056,넘실지  ,경상북도
KCLANPO22N000019258,CT1,호수/저수지,36.20340934,128.5709857,구지  ,경상북도
KCLANPO22N000019259,CT1,호수/저수지,36.17343694,128.0950451,옥률지  ,경상북도
KCLANPO22N000019260,CT1,호수/저수지,36.04750172,127.1165797,호월제  ,전라북도
KCLANPO22N000019261,CT1,호수/저수지,36.02364483,129.0000528,버듬곡지  ,경상북도
KCLANPO22N000019262,CT1,호수/저수지,34.72897906,126.628535,안골제  ,전라남도
KCLANPO22N000019263,CT1,호수/저수지,34.89714867,127.3196895,송기제  ,전라남도
KCLANPO22N000019264,CT1,호수/저수지,34.86679517,127.2938804,등광제  ,전라남도
KCLANPO22N000019265,CT1,호수/저수지,34.85037276,126.6611225,당산제  ,전라남도
KCLANPO22N000019266,CT1,호수/저수지,34.8517789,126.4709833,송산제  ,전라남도
KCLANPO22N000019267,CT1,호수/저수지,34.93871324,126.7359232,용궁제  ,전라남도
KCLANPO22N000019268,CT1,호수/저수지,34.91218008,126.7198703,교산제  ,전라남도
KCLANPO22N000019269,CT1,호수/저수지,34.98995904,126.5183723,용호제  ,전라남도
KCLANPO22N000019270,CT1,호수/저수지,34.95934978,126.5022736,다산제  ,전라남도
KCLANPO22N000019271,CT1,호수/저수지,35.04110467,126.6941003,오두제  ,전라남도
KCLANPO22N000019272,CT1,호수/저수지,35.03593512,126.9126896,원화제  ,전라남도
KCLANPO22N000019273,CT1,호수/저수지,35.01436411,126.9596504,만수제  ,전라남도
KCLANPO22N000019274,CT1,호수/저수지,35.26120359,126.784641,녹진이제  ,전라남도
KCLANPO22N000019275,CT1,호수/저수지,35.43297267,127.7600419,뒷뜰제  ,경상남도
KCLANPO22N000019276,CT1,호수/저수지,35.44957679,126.6019038,학전제  ,전라북도
KCLANPO22N000019277,CT1,호수/저수지,35.4601821,126.5653895,평지저수지  ,전라북도
KCLANPO22N000019278,CT1,호수/저수지,35.52053323,126.8676063,신성제  ,전라북도
KCLANPO22N000019279,CT1,호수/저수지,35.54311719,127.5919481,부동제  ,전라북도
KCLANPO22N000019280,CT1,호수/저수지,35.56511788,127.3379319,탑날저수지  ,전라북도
KCLANPO22N000019281,CT1,호수/저수지,35.59269018,127.2211217,암포시  ,전라북도
KCLANPO22N000019282,CT1,호수/저수지,35.64911496,126.794261,제내제  ,전라북도
KCLANPO22N000019283,CT1,호수/저수지,35.64636247,126.8089381,산매제  ,전라북도
KCLANPO22N000019284,CT1,호수/저수지,35.64785719,127.028298,지금실제  ,전라북도
KCLANPO22N000019285,CT1,호수/저수지,35.61203521,127.3344022,수월제  ,전라북도
KCLANPO22N000019286,CT1,호수/저수지,35.65854561,127.3857455,남계제  ,전라북도
KCLANPO22N000019287,CT1,호수/저수지,35.61565854,127.5498998,덕산제  ,전라북도
KCLANPO22N000019288,CT1,호수/저수지,35.62382947,128.0445435,합천호  ,경상남도
KCLANPO22N000019289,CT1,호수/저수지,35.7328725,126.6758649,양어장  ,전라북도
KCLANPO22N000019290,CT1,호수/저수지,35.74261003,127.5982956,서변제  ,전라북도
KCLANPO22N000019291,CT1,호수/저수지,35.73837236,129.4631759,큰골지  ,경상북도
KCLANPO22N000019292,CT1,호수/저수지,35.81159114,127.004644,은교제  ,전라북도
KCLANPO22N000019293,CT1,호수/저수지,35.85124914,126.9877626,외모제  ,전라북도
KCLANPO22N000019294,CT1,호수/저수지,35.86174807,127.3953011,진상동제  ,전라북도
KCLANPO22N000019295,CT1,호수/저수지,35.84965878,128.2311294,작은지  ,경상북도
KCLANPO22N000019296,CT1,호수/저수지,35.88039257,128.5110124,방천지  ,대구광역시
KCLANPO22N000019297,CT1,호수/저수지,35.88727951,128.7206601,이곡지  ,대구광역시
KCLANPO22N000019298,CT1,호수/저수지,35.95395379,128.193522,외기지  ,경상북도
KCLANPO22N000019299,CT1,휴양림/수목원,37.20168691,128.4900272,봉래산산림욕장  ,강원도
KCLANPO22N000019300,CT1,휴양림/수목원,35.131541,128.7179114,진해드림파크천자봉산림욕장  ,경상남도
KCLANPO22N000019301,CT1,휴양림/수목원,36.10382363,128.4469863,천생산성산림욕장  ,경상북도
KCLANPO22N000019302,CT1,휴양림/수목원,37.58321001,127.4556557,중미산자연휴양림  ,경기도
KCLANPO22N000019303,CT1,휴양림/수목원,36.81045422,128.0524082,조령산자연휴양림  ,충청북도
KCLANPO22N000019304,CT1,휴양림/수목원,36.74855931,126.609418,국립용현자연휴양림  ,충청남도
KCLANPO22N000019305,CT1,휴양림/수목원,35.15305152,127.1690684,백아산자연휴양림  ,전라남도
KCLANPO22N000019306,CT1,휴양림/수목원,38.01380249,127.7603764,용화산자연휴양림  ,강원도
KCLANPO22N000019307,CT1,휴양림/수목원,37.58832123,126.9840539,삼청공원유아숲체험장  ,서울특별시
KCLANPO22N000019308,CT3,식물원,34.95028289,127.6241086,사라실라벤더치유정원  ,전라남도
KCLANPO22N000019309,CT4,지역관광지,35.17577163,129.1837488,메타세콰이어길  ,부산광역시
KCLANPO22N000019310,CT4,지역관광지,37.64404709,128.6789456,용평리조트발왕산관광케이블카  ,강원도
KCLANPO22N000019311,CT4,지역관광지,37.65014436,127.068499,서울단풍길 당현천변길,서울특별시
KCLANPO22N000019312,CT4,지역관광지,35.84455797,129.2908346,경주보문단지루지월드  ,경상북도
KCLANPO22N000019313,CT4,지역관광지,34.76037519,126.622404,하정웅로  ,전라남도
KCLANPO22N000019314,CT4,지역관광지,37.57145544,127.015758,박수근길  ,서울특별시
KCLANPO22N000019315,CT4,지역관광지,37.03573689,127.2660354,강선영길  ,경기도
KCLANPO22N000019316,CT4,지역관광지,34.51607003,127.1279928,마리안느마가렛길  ,전라남도
KCLANPO22N000019317,CT4,지역관광지,36.54411913,127.9222988,맥문동솔숲  ,경상북도
KCLANPO22N000019318,CT4,지역관광지,35.89412398,126.8038615,새만금광역탐방로  ,전라북도
KCLANPO22N000019319,CT4,지역관광지,35.76385682,127.7479797,거창서출동류물길  ,경상남도
KCLANPO22N000019320,CT4,지역관광지,36.1632746,126.523978,서해랑길59코스 춘장대해변,충청남도
KCLANPO22N000019321,CT4,지역관광지,35.09661487,129.0126386,천마산복합전망대(2023년12월예정)  ,부산광역시
KCLANPO22N000019322,CT4,지역관광지,35.24445531,128.6816031,창원의집  ,경상남도
KCLANPO22N000019323,CT4,지역관광지,37.56965944,127.0045771,나래교  ,서울특별시
KCLANPO22N000019324,CT4,지역관광지,37.56140457,126.9774065,송옥  ,서울특별시
KCLANPO22N000019325,CT4,지역관광지,35.00219139,127.2761463,천자암쌍향수  ,전라남도
KCLANPO22N000019326,CT4,지역관광지,37.69223674,126.2982528,한가라지농원  ,인천광역시
