category,lat,lng,region,cluster_1
CT1,35.60008858,127.0801849,전라북도,430
CT1,35.0825237,127.6012612,전라남도,54
CT1,37.05465998,128.4651832,충청북도,248
CT1,37.65756641,127.7682952,강원도,108
CT1,33.29011732,126.6937034,제주특별자치도,207
CT1,34.30985187,126.9701123,전라남도,999
CT1,35.35384318,128.9327718,경상남도,552
CT1,36.93971144,127.4808104,충청북도,399
CT1,33.49797776,126.4530919,제주특별자치도,395
CT1,36.81209988,126.1551976,충청남도,653
CT1,34.72945643,128.0347124,경상남도,337
CT1,37.54047332,126.3296375,인천광역시,46
CT1,34.43059174,127.2070859,전라남도,967
CT1,37.15940398,126.2766605,인천광역시,955
CT1,37.72122848,126.2410319,인천광역시,695
CT1,33.49588816,126.9096139,제주특별자치도,393
CT1,38.35672283,128.509936,강원도,622
CT1,37.95333263,128.7728222,강원도,374
CT1,34.48252154,126.6162664,전라남도,822
CT1,37.88475749,127.3099497,경기도,13
CT1,36.80517064,129.1859566,경상북도,497
CT1,37.69874397,127.9572188,강원도,61
CT1,36.89855161,129.31119,경상북도,821
CT1,35.15637643,126.9901039,광주광역시,694
CT1,36.36675634,127.1831945,충청남도,195
CT1,37.66802124,127.3908597,경기도,971
CT1,35.8371242,127.7027997,전라북도,843
CT1,36.96315116,128.4212432,충청북도,253
CT1,38.10230329,128.445429,강원도,202
CT1,36.25554997,129.27338,경상북도,877
CT1,35.63804123,128.9990769,경상북도,150
CT1,37.63983367,126.9556851,서울특별시,742
CT1,35.64049674,126.597067,전라북도,583
CT4,36.49326344,127.7661742,충청북도,992
CT4,35.27572197,126.5043087,전라남도,183
CT4,35.53482666,126.8907199,전라북도,474
CT4,35.46566962,127.3698956,전라북도,867
CT4,35.36179043,126.4455921,전라남도,74
CT4,37.74297973,128.8982373,강원도,651
CT4,37.14314086,127.0130435,경기도,421
CT4,35.51178207,129.4279715,울산광역시,510
CT4,37.131196,128.5352741,강원도,769
CT4,33.50606992,126.4659989,제주특별자치도,395
CT4,35.54984203,129.267067,울산광역시,83
CT4,36.96262066,128.6567691,경상북도,847
CT4,37.59265148,127.4910253,경기도,623
CT4,35.51905248,127.7300453,경상남도,450
CT4,35.15159447,128.6670284,경상남도,414
CT4,35.4882779,128.7532373,경상남도,525
CT4,35.81430784,127.1523584,전라북도,231
CT4,35.8006207,126.8839067,전라북도,210
CT4,34.74321882,127.7487547,전라남도,996
CT4,33.48602024,126.4897161,제주특별자치도,952
CT4,33.24236603,126.5622441,제주특별자치도,79
CT4,36.45666409,127.122264,충청남도,436
CT4,37.47522806,126.8556191,경기도,35
CT4,33.44375457,126.334066,제주특별자치도,677
CT3,37.66229959,126.8714583,경기도,107
CT3,33.45701104,126.7148456,제주특별자치도,477
CT3,36.51416844,127.2889145,세종특별자치시,301
CT3,37.57738823,127.1919681,경기도,362
CT3,35.16032581,129.1682625,부산광역시,320
CT3,35.32967891,127.0173985,전라남도,591
CT3,35.17907036,129.206317,부산광역시,320
CT3,35.587957,129.116825,울산광역시,190
CT4,35.84271102,129.286663,경상북도,507
CT4,33.51600348,126.5120296,제주특별자치도,718
CT4,34.99529989,126.3353782,전라남도,879
CT4,36.04564777,128.7152346,경상북도,764
CT4,36.85567713,126.9813035,충청남도,586
CT1,37.796607,128.9032013,강원도,651
CT1,36.66383273,126.3515902,충청남도,294
CT1,37.98913584,127.6471999,강원도,198
CT2,35.25459641,127.5882427,전라남도,416
CT2,35.00219143,127.2761672,전라남도,922
CT2,37.1830472,128.8925696,강원도,36
CT2,37.2828837,129.2556796,강원도,444
CT2,37.11205673,128.9240913,강원도,36
